Name;Tradename;Disease;Indication;Status;URL;Category
golimumab;Simponi;"Arthritis, Psoriatic;Spondylitis, Ankylosing;Colitis, Ulcerative;Arthritis, Rheumatoid";Rheumatoid arthritis (RA) Simponi, in combination with methotrexate (MTX), is indicated for:  the treatment of moderate to severe, active rheumatoid arthritis in adults when the response to disease modifying anti rheumatic drug (DMARD) therapy including MTX has been inadequate. the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with MTX.  Simponi, in combination with MTX, has been shown to reduce the rate of progression of joint damage as measured by X ray and to improve physical function. For information regarding the polyarticular juvenile idiopathic arthritis indication, please see the Simponi 50 mg SmPC. Psoriatic arthritis (PsA) Simponi, alone or in combination with MTX, is indicated for the treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Simponi has been shown to reduce the rate of progression of peripheral joint damage as measured by X ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Axial spondyloarthritis Ankylosing spondylitis (AS) Simponi is indicated for the treatment of severe, active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non radiographic axial spondyloarthritis (nr Axial SpA) Simponi is indicated for the treatment of adults with severe, active non radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs). Ulcerative colitis (UC) Simponi is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6 mercaptopurine (6 MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Ulcerative colitisPaediatric ulcerative colitis (pUC)Simponi is indicated for the treatment of moderately to severely active ulcerative colitis in paediatric patients 2 years of age and older with a body weight of at least 15  kg, who have had an inadequate response to conventional therapy, including corticosteroids and 6‑mercaptopurine (6‑MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Juvenile idiopathic arthritis Polyarticular juvenile idiopathic arthritis (pJIA) Simponi in combination with methotrexate (MTX) is indicated for the treatment of polyarticular juvenile idiopathic arthritis in children 2 years of age and older, who have responded inadequately to previous therapy with MTX. Rheumatoid arthritis (RA) Simponi, in combination with methotrexate (MTX), is indicated for:  the treatment of moderate to severe, active rheumatoid arthritis in adults when the response to disease modifying anti rheumatic drug (DMARD) therapy including MTX has been inadequate. the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with MTX.  Simponi, in combination with MTX, has been shown to reduce the rate of progression of joint damage as measured by X ray and to improve physical function. Juvenile idiopathic arthritis Polyarticular juvenile idiopathic arthritis (pJIA) Simponi in combination with MTX is indicated for the treatment of polyarticular juvenile idiopathic arthritis in children 2 years of age and older, who have responded inadequately to previous therapy with MTX. Psoriatic arthritis (PsA) Simponi, alone or in combination with MTX, is indicated for the treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Simponi has been shown to reduce the rate of progression of peripheral joint damage as measured by X ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Axial spondyloarthritis Ankylosing spondylitis (AS) Simponi is indicated for the treatment of severe, active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non radiographic axial spondyloarthritis (nr Axial SpA) Simponi is indicated for the treatment of adults with severe, active non radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs). Ulcerative colitis (UC) Simponi is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6 mercaptopurine (6 MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/simponi;Human
denosumab;Osvyrti;"Bone Resorption;Osteoporosis;Osteoporosis, Postmenopausal";Treatment of osteoporosis in postmenopausal women and in men at increased risk of fractures. In postmenopausal women denosumab significantly reduces the risk of vertebral, non-vertebral and hip fractures.Treatment of bone loss associated with hormone ablation in men with prostate cancer at increased risk of fractures. In men with prostate cancer receiving hormone ablation, denosumab significantly reduces the risk of vertebral fractures.Treatment of bone loss associated with long-term systemic glucocorticoid therapy in adult patients at increased risk of fracture.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/osvyrti;Human
risdiplam;Evrysdi;Muscular Atrophy, Spinal;Evrysdi is indicated for the treatment of 5q spinal muscular atrophy (SMA) in patients with a clinical diagnosis of SMA Type 1, Type 2 or Type 3 or with one to four SMN2 copies.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/evrysdi;Human
arsenic trioxide;Trisenox;Leukemia, Promyelocytic, Acute;"Trisenox is indicated for induction of remission, and consolidation in adult patients with:  Newly diagnosed low-to-intermediate risk acute promyelocytic leukaemia (APL) (white blood cell count, ? 10 x 103/µl) in combination with all?trans?retinoic acid (ATRA) Relapsed/refractory acute promyelocytic leukaemia (APL) (previous treatment should have included a retinoid and chemotherapy)  characterised by the presence of the t(15;17) translocation and/or the presence of the Pro-Myelocytic Leukaemia/Retinoic-Acid-Receptor-alpha (PML/RAR-alpha) gene. The response rate of other acute myelogenous leukaemia subtypes to arsenic trioxide has not been examined.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/trisenox;Human
lenvatinib;Lenvima;Thyroid Neoplasms;Lenvima is indicated as monotherapy for the treatment of adult patients with progressive, locally advanced or metastatic, differentiated (papillary/follicular/Hürthle cell) thyroid carcinoma (DTC), refractory to radioactive iodine (RAI). Lenvima is indicated as monotherapy for the treatment of adult patients with advanced or unresectable hepatocellular carcinoma (HCC) who have received no prior systemic therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/lenvima;Human
lenvatinib;Kisplyx;Carcinoma, Renal Cell;Kisplyx is indicated for the treatment of adults with advanced renal cell carcinoma (RCC):  in combination with pembrolizumab, as first-line treatment (see section 5.1). in combination with everolimus, following one prior vascular endothelial growth factor (VEGF)-targeted therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/kisplyx;Human
pemetrexed;Pemetrexed Accord;"Carcinoma, Non-Small-Cell Lung;Mesothelioma";Malignant pleural mesothelioma Pemetrexed Accord in combination with cisplatin is indicated for the treatment of chemotherapy naïve patients with unresectable malignant pleural mesothelioma. Non-small cell lung cancer Pemetrexed Accord in combination with cisplatin is indicated for the first line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology. Pemetrexed Accord is indicated as monotherapy for the maintenance treatment of locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology in patients whose disease has not progressed immediately following platinum-based chemotherapy. Pemetrexed Accord is indicated as monotherapy for the second line treatment of patients with locally advanced or metastatic non-small cell lung cancer other than predominantly squamous cell histology.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pemetrexed-accord;Human
flutemetamol (18F);Vizamyl;"Radionuclide Imaging;Alzheimer Disease";This medicinal product is for diagnostic use only. Vizamyl is a radiopharmaceutical medicinal product indicated for Positron Emission Tomography (PET) imaging of ? amyloid neuritic plaque density in the brains of adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD) and other causes of cognitive impairment. Vizamyl should be used in conjunction with a clinical evaluation. A negative scan indicates sparse or no plaques, which is not consistent with a diagnosis of AD.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/vizamyl;Human
COVID-19 mRNA vaccine;Spikevax (previously COVID-19 Vaccine Moderna);COVID-19 virus infection;Spikevax is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older. The use of this vaccine should be in accordance with official recommendations. Spikevax bivalent Original/Omicron BA.1 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 years of age and older who have previously received at least a primary vaccination course against COVID-19. The use of this vaccine should be in accordance with official recommendations. Spikevax bivalent Original/Omicron BA.4-5 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older. The use of this vaccine should be in accordance with official recommendations. Spikevax XBB.1.5 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older. Spikevax JN.1 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older. The use of this vaccine should be in accordance with official recommendations. Spikevax JN.1 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older. The use of this vaccine should be in accordance with official recommendations. Spikevax LP.8.1 is indicated for active immunisation to prevent COVID 19 caused by SARS-CoV-2 in individuals 6 months of age and older. The use of this vaccine should be in accordance with official recommendations.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/spikevax;Human
anakinra;Kineret;"Arthritis, Rheumatoid;COVID-19 virus infection";Rheumatoid Arthritis (RA) Kineret is indicated in adults for the treatment of the signs and symptoms of RA in combination with methotrexate, with an inadequate response to methotrexate alone. COVID-19 Kineret is indicated for the treatment of coronavirus disease 2019 (COVID-19) in adult patients with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure determined by plasma concentration of soluble urokinase plasminogen activator receptor (suPAR) ? 6 ng/ml. Periodic fever syndromes Kineret is indicated for the treatment of the following autoinflammatory periodic fever syndromes in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above: Cryopyrin-Associated Periodic Syndromes (CAPS) Kineret is indicated for the treatment of CAPS, including:  Neonatal-Onset Multisystem Inflammatory Disease (NOMID) / Chronic Infantile Neurological, Cutaneous, Articular Syndrome (CINCA) Muckle-Wells Syndrome (MWS) Familial Cold Autoinflammatory Syndrome (FCAS)  Familial Mediterranean Fever (FMF) Kineret is indicated for the treatment of Familial Mediterranean Fever (FMF). Kineret should be given in combination with colchicine, if appropriate. Still’s Disease Kineret is indicated in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above for the treatment of Still’s disease, including Systemic Juvenile Idiopathic Arthritis (SJIA) and Adult-Onset Still’s Disease (AOSD), with active systemic features of moderate to high disease activity, or in patients with continued disease activity after treatment with non-steroidal anti-inflammatory drugs (NSAIDs) or glucocorticoids. Kineret can be given as monotherapy or in combination with other anti-inflammatory drugs and disease-modifying antirheumatic drugs (DMARDs).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/kineret;Human
