Name;Group;Indication
peginterferon beta-1a;Immunostimulants;Treatment of relapsing remitting multiple sclerosis in adult patients.
interferon beta-1a;Immunostimulants;"Avonex is indicated for the treatment of:  patients diagnosed with relapsing multiple sclerosis (MS). In clinical trials, this was characterised by two or more acute exacerbations (relapses) in the previous three years without evidence of continuous progression between relapses; Avonex slows the progression of disability and decreases the frequency of relapses; patients with a single demyelinating event with an active inflammatory process, if it is severe enough to warrant treatment with intravenous corticosteroids, if alternative diagnoses have been excluded, and if they are determined to be at high risk of developing clinically definite MS.  Avonex should be discontinued in patients who develop progressive MS."
secukinumab;Immunosuppressants;Plaque psoriasis Cosentyx is indicated for the treatment of moderate to severe plaque psoriasis in adults and children from the age of 6 years old who are candidates for systemic therapy. Hidradenitis suppurativa (HS) Cosentyx is indicated for the treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adults with an inadequate response to conventional systemic HS therapy. Psoriatic arthritis Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adult patients when the response to previous disease modifying anti rheumatic drug (DMARD) therapy has been inadequate. Axial spondyloarthritis (axSpA) Ankylosing spondylitis (AS, radiographic axial spondyloarthritis) Cosentyx is indicated for the treatment of active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non-radiographic axial spondyloarthritis (nr-axSpA) Cosentyx is indicated for the treatment of active non-radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence in adults who have responded inadequately to non steroidal anti inflammatory drugs (NSAIDs). Juvenile idiopathic arthritis (JIA) Enthesitis-related arthritis (ERA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active enthesitis-related arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy. Juvenile psoriatic arthritis (JPsA) Cosentyx, alone or in combination with methotrexate (MTX), is indicated for the treatment of active juvenile psoriatic arthritis in patients 6 years and older whose disease has responded inadequately to, or who cannot tolerate, conventional therapy.
"meropenem;vaborbactam";Antibacterials for systemic use;Vaborem is indicated for the treatment of the following infections in adults:  Complicated urinary tract infection (cUTI), including pyelonephritis Complicated intra-abdominal infection (cIAI) Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP).  Treatment of patients with bacteraemia that occurs in association with, or is suspected to be associated with, any of the infections listed above. Vaborem is also indicated for the treatment of infections due to aerobic Gram-negative organisms in adults with limited treatment options. Consideration should be given to official guidance on the appropriate use of antibacterial agents.
5-aminolevulinic acid hydrochloride;Antineoplastic agents;Gliolan is indicated in adult patients for visualisation of malignant tissue during surgery for malignant glioma (World Health Organization grade III and IV).
duloxetine;Psychoanaleptics;Treatment of major depressive disorder Treatment of diabetic peripheral neuropathic pain Treatment of generalised anxiety disorder Duloxetine Viatris is indicated in adults
ponesimod;Immunosuppressants;Ponvory is indicated for the treatment of adult patients with relapsing forms of multiple sclerosis (RMS) with active disease defined by clinical or imaging features.
anakinra;Immunosuppressants;Rheumatoid Arthritis (RA) Kineret is indicated in adults for the treatment of the signs and symptoms of RA in combination with methotrexate, with an inadequate response to methotrexate alone. COVID-19 Kineret is indicated for the treatment of coronavirus disease 2019 (COVID-19) in adult patients with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure determined by plasma concentration of soluble urokinase plasminogen activator receptor (suPAR) ? 6 ng/ml. Periodic fever syndromes Kineret is indicated for the treatment of the following autoinflammatory periodic fever syndromes in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above: Cryopyrin-Associated Periodic Syndromes (CAPS) Kineret is indicated for the treatment of CAPS, including:  Neonatal-Onset Multisystem Inflammatory Disease (NOMID) / Chronic Infantile Neurological, Cutaneous, Articular Syndrome (CINCA) Muckle-Wells Syndrome (MWS) Familial Cold Autoinflammatory Syndrome (FCAS)  Familial Mediterranean Fever (FMF) Kineret is indicated for the treatment of Familial Mediterranean Fever (FMF). Kineret should be given in combination with colchicine, if appropriate. Still’s Disease Kineret is indicated in adults, adolescents, children and infants aged 8 months and older with a body weight of 10 kg or above for the treatment of Still’s disease, including Systemic Juvenile Idiopathic Arthritis (SJIA) and Adult-Onset Still’s Disease (AOSD), with active systemic features of moderate to high disease activity, or in patients with continued disease activity after treatment with non-steroidal anti-inflammatory drugs (NSAIDs) or glucocorticoids. Kineret can be given as monotherapy or in combination with other anti-inflammatory drugs and disease-modifying antirheumatic drugs (DMARDs).
golimumab;Immunosuppressants;Rheumatoid arthritis (RA) Simponi, in combination with methotrexate (MTX), is indicated for:  the treatment of moderate to severe, active rheumatoid arthritis in adults when the response to disease modifying anti rheumatic drug (DMARD) therapy including MTX has been inadequate. the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with MTX.  Simponi, in combination with MTX, has been shown to reduce the rate of progression of joint damage as measured by X ray and to improve physical function. For information regarding the polyarticular juvenile idiopathic arthritis indication, please see the Simponi 50 mg SmPC. Psoriatic arthritis (PsA) Simponi, alone or in combination with MTX, is indicated for the treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Simponi has been shown to reduce the rate of progression of peripheral joint damage as measured by X ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Axial spondyloarthritis Ankylosing spondylitis (AS) Simponi is indicated for the treatment of severe, active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non radiographic axial spondyloarthritis (nr Axial SpA) Simponi is indicated for the treatment of adults with severe, active non radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs). Ulcerative colitis (UC) Simponi is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6 mercaptopurine (6 MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Juvenile idiopathic arthritis Polyarticular juvenile idiopathic arthritis (pJIA) Simponi in combination with methotrexate (MTX) is indicated for the treatment of polyarticular juvenile idiopathic arthritis in children 2 years of age and older, who have responded inadequately to previous therapy with MTX. Rheumatoid arthritis (RA) Simponi, in combination with methotrexate (MTX), is indicated for:  the treatment of moderate to severe, active rheumatoid arthritis in adults when the response to disease modifying anti rheumatic drug (DMARD) therapy including MTX has been inadequate. the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with MTX.  Simponi, in combination with MTX, has been shown to reduce the rate of progression of joint damage as measured by X ray and to improve physical function. Juvenile idiopathic arthritis Polyarticular juvenile idiopathic arthritis (pJIA) Simponi in combination with MTX is indicated for the treatment of polyarticular juvenile idiopathic arthritis in children 2 years of age and older, who have responded inadequately to previous therapy with MTX. Psoriatic arthritis (PsA) Simponi, alone or in combination with MTX, is indicated for the treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Simponi has been shown to reduce the rate of progression of peripheral joint damage as measured by X ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Axial spondyloarthritis Ankylosing spondylitis (AS) Simponi is indicated for the treatment of severe, active ankylosing spondylitis in adults who have responded inadequately to conventional therapy. Non radiographic axial spondyloarthritis (nr Axial SpA) Simponi is indicated for the treatment of adults with severe, active non radiographic axial spondyloarthritis with objective signs of inflammation as indicated by elevated C reactive protein (CRP) and/or magnetic resonance imaging (MRI) evidence, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs). Ulcerative colitis (UC) Simponi is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6 mercaptopurine (6 MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies.
human hepatitis B immunoglobulin;Immune sera and immunoglobulins;Prevention of hepatitis B virus (HBV) re-infection in HBsAg and HBV-DNA negative adult patients at least one week after liver transplantation for hepatitis B induced liver failure. HBV-DNA negative status should be confirmed within the last 3 months prior to OLT. Patients should be HBsAg negative before treatment start. The concomitant use of adequate virostatic agents should be considered as standard of hepatitis B re-infection prophylaxis.
